Date,Price,Open,High,Low,Vol,Return_1d,Return_3d,Return_7d,HL_Range,HL_Range_Pct,OC_Range,OC_Range_Pct,Price_Position,SMA_5,Price_to_SMA_5,SMA_7,Price_to_SMA_7,SMA_10,Price_to_SMA_10,SMA_14,Price_to_SMA_14,SMA_20,Price_to_SMA_20,SMA_30,Price_to_SMA_30,EMA_5,Price_to_EMA_5,EMA_10,Price_to_EMA_10,EMA_20,Price_to_EMA_20,BB_Upper_10,BB_Lower_10,BB_Width_10,BB_Position_10,BB_Upper_20,BB_Lower_20,BB_Width_20,BB_Position_20,RSI_7,RSI_14,Stoch_14,ROC_5,ROC_10,MACD,MACD_Signal,MACD_Histogram,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,Vol_Change,Vol_SMA_5,Vol_Ratio_5,Vol_SMA_10,Vol_Ratio_10,Vol_SMA_20,Vol_Ratio_20,Vol_Price_Corr_20,Price_Lag_1,Return_Lag_1,Vol_Lag_1,Price_Lag_2,Return_Lag_2,Vol_Lag_2,Price_Lag_3,Return_Lag_3,Vol_Lag_3,Price_Lag_5,Return_Lag_5,Vol_Lag_5,Price_Lag_7,Return_Lag_7,Vol_Lag_7,Price_Mean_7,Price_Std_7,Price_Min_7,Price_Max_7,Price_Range_7,Price_Mean_14,Price_Std_14,Price_Min_14,Price_Max_14,Price_Range_14,Price_Mean_30,Price_Std_30,Price_Min_30,Price_Max_30,Price_Range_30,Day_of_Week,Day_of_Month,Month,Quarter,Year,Target_Price,RF_Pred_Tomorrow,RF_Pred_Today,SVR_Pred_Tomorrow
2018-10-02,0.517,0.5773,0.5798,0.5157,439890000.0,,,,0.0640999999999999,12.429707194105086,0.0603,10.445175818465271,0.0202808112324488,,,,,,,,,,,,,0.517,0.0,0.517,0.0,0.517,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10,4,2018,0.5285,0.5284666206309562,,
2018-10-03,0.5285,0.5169,0.5372,0.5082,556330000.0,2.224371373307532,,,0.029,5.706414797323894,0.0115999999999999,2.244147804217439,0.6999999999999988,,,,,,,,,,,,,0.5208333333333334,1.4719999999999844,0.519090909090909,1.8126094570928288,0.518095238095238,2.008272058823524,,,,,,,,,,,,,,0.0009173789173788,0.0001834757834757,0.000733903133903,,,,,,,26.470253927118147,,,,,,,,0.517,,439890000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,10,4,2018,0.5287,0.5463784268091989,0.5284666206309562,
2018-10-04,0.5287,0.5286,0.549,0.5241,320580000.0,0.0378429517502221,,,0.0249,4.751001717229542,9.9999999999989e-05,0.018917896329926,0.1847389558232904,,,,,,,,,,,,,0.5234555555555556,1.0018891553989384,0.5208380165289255,1.5094872535361237,0.519105215419501,1.8483313778200336,,,,,,,,,,,,,,0.001641623038774,0.0004751052345354,0.0011665178042385,,,,,,,-42.37592795642874,,,,,,,,0.5285,2.224371373307532,556330000.0,0.517,,439890000.0,,,,,,,,,,,,,,,,,,,,,,,,,3,4,10,4,2018,0.5209,0.5467909199306679,0.5463784268091989,
2018-10-05,0.5209,0.5287,0.5326,0.5107,332770000.0,-1.4753168148288087,0.7543520309477802,,0.0218999999999999,4.2882318386528135,0.0077999999999999,1.47531681482881,0.4657534246575353,,,,,,,,,,,,,0.5226037037037038,-0.3260029907230954,0.5208492862509391,0.0097367415871962,0.5192761472843105,0.3127146748761467,,,,,,,,,,,,,,0.0015681205921318,0.0006937083060547,0.0008744122860771,,,,,,,3.802482999563295,,,,,,,,0.5287,0.0378429517502221,320580000.0,0.5285,2.224371373307532,556330000.0,0.517,,439890000.0,,,,,,,,,,,,,,,,,,,,,,4,5,10,4,2018,0.4888,0.5214758498298179,0.5467909199306679,
2018-10-06,0.4888,0.5209,0.5218,0.4691,376590000.0,-6.162411211364949,-7.511825922421944,,0.0527,11.234278405457264,0.0321,6.162411211364948,0.3738140417457303,0.51678,-5.414296218893922,,,,,,,,,,,0.5113358024691359,-4.407241261088135,0.5150221432962229,-5.091459394036346,0.5163736570667571,-5.339865171160795,,,,,,,,,,,,,,-0.0010680208756606,0.0003413624697116,-0.0014093833453722,,0.0385199999999999,,,,,13.16825434985125,405232000.0,0.9293195009278636,,,,,,0.5209,-1.4753168148288087,332770000.0,0.5287,0.0378429517502221,320580000.0,0.5285,2.224371373307532,556330000.0,,,,,,,,,,,,,,,,,,,,,,5,6,10,4,2018,0.4825,0.4881894571055865,0.5214758498298179,
2018-10-07,0.4825,0.4889,0.4903,0.4685,282520000.0,-1.288870703764322,-8.738414980139964,,0.0217999999999999,4.653148345784415,0.0064,1.3090611577009648,0.6422018348623838,0.50988,-5.369890954734446,,,,,,,,,,,0.5017238683127573,-3.831563440943142,0.5091090263332733,-5.2265870288959455,0.5131475944889707,-5.972471627678944,,,,,,,,,,,,-6.673114119922636,,-0.0036237668019861,-0.0004516633846279,-0.0031721034173582,3.0773168316419115,0.0300599999999999,,,,,-24.9794205900316,373758000.0,0.7558901749260216,,,,,,0.4888,-6.162411211364949,376590000.0,0.5209,-1.4753168148288087,332770000.0,0.5287,0.0378429517502221,320580000.0,0.517,,439890000.0,,,,,,,,,,,,,,,,,,,6,7,10,4,2018,0.4923,0.4819181203632429,0.4881894571055865,
2018-10-08,0.4923,0.4825,0.4999,0.4798,329330000.0,2.0310880829015554,-5.490497216356305,,0.0201,4.189245518966237,0.0098,2.0310880829015607,0.621890547263682,0.50264,-2.0571383097246487,0.5083857142857143,-3.1640767696068828,,,,,,,,,0.4985825788751715,-1.2600879255238673,0.5060528397272236,-2.7176687190683,0.511162109299545,-3.690044499853884,,,,,,,,,31.75775480059083,,,-6.849574266792802,,-0.0048030689744408,-0.0013219445025904,-0.0034811244718503,3.0221800483569528,0.0282799999999999,,,,,16.568738496389646,328358000.0,1.002960183701935,,,,,,0.4825,-1.288870703764322,282520000.0,0.4888,-6.162411211364949,376590000.0,0.5209,-1.4753168148288087,332770000.0,0.5285,2.224371373307532,556330000.0,,,,0.5083857142857143,0.0198346858282344,0.4825,0.5287,0.0461999999999999,,,,,,,,,,,0,8,10,4,2018,0.4816,0.4869173919067855,0.4819181203632429,
2018-10-09,0.4816,0.4923,0.4932,0.4714,246030000.0,-2.173471460491583,-1.4729950900163713,-6.847195357833669,0.0218,4.624522698345364,0.0107,2.173471460491579,0.4678899082568792,0.49322,-2.35594663638945,0.5033285714285715,-4.316975562682723,,,,,,,,,0.4929217192501143,-2.296859482543845,0.5016068688677283,-3.9885556018978807,0.5083466703186359,-5.261502018272468,,,,,,,,,27.423469387755063,,,-8.908643843389443,,-0.0065258490927521,-0.0023627254206228,-0.0041631236721292,2.9245969393134144,0.0276599999999999,,,,,-25.29377827710807,313448000.0,0.7849148822133177,,,,,,0.4923,2.0310880829015554,329330000.0,0.4825,-1.288870703764322,282520000.0,0.4888,-6.162411211364949,376590000.0,0.5287,0.0378429517502221,320580000.0,0.517,,439890000.0,0.5033285714285715,0.0216976737835891,0.4816,0.5287,0.0470999999999999,,,,,,,,,,,1,9,10,4,2018,0.4657,0.4807797088599267,0.4869173919067855,
2018-10-10,0.4657,0.4816,0.4816,0.4622,252600000.0,-3.301495016611289,-3.481865284974095,-11.882686849574265,0.0193999999999999,4.1973171787105095,0.0158999999999999,3.3014950166112897,0.180412371134021,0.4821799999999999,-3.417810776058716,0.4943571428571428,-5.796850166160949,,,,,,,,,0.4838478128334096,-3.7507274709244087,0.495078347255414,-5.934080417428877,0.504285082669242,-7.651442407339615,,,,,,,,,12.077294685990353,,,-10.597043578421966,,-0.009069613013449,-0.003704102939188,-0.0053655100742609,2.9851617347541297,0.02716,,,,,2.670406048042917,297414000.0,0.8493211482983316,,,,,,0.4816,-2.173471460491583,246030000.0,0.4923,2.0310880829015554,329330000.0,0.4825,-1.288870703764322,282520000.0,0.5209,-1.4753168148288087,332770000.0,0.5285,2.224371373307532,556330000.0,0.4943571428571428,0.0225227186889785,0.4657,0.5287,0.0629999999999999,,,,,,,,,,,2,10,10,4,2018,0.3821,0.4666934082795129,0.4807797088599267,
2018-10-11,0.3821,0.4657,0.4657,0.3782,715060000.0,-17.951470904015466,-22.384724761324403,-27.728390391526386,0.0875,23.135906927551567,0.0836,17.951470904015462,0.0445714285714287,0.46084,-17.086190434858096,0.4734142857142857,-19.28845167325508,0.4888099999999999,-21.830568114400272,,,,,,,0.449931875222273,-15.07603238573909,0.4745368295726114,-19.47937943106841,0.4926484081293142,-22.43961541438628,0.5757736680203611,0.4018463319796388,0.1739273360407223,-0.1135320785630588,,,,,5.89651022864021,,,-21.82896890343699,,-0.0176281788998816,-0.0064889181313267,-0.0111392607685548,7.758074732558735,0.03412,,0.03632,,,183.0799683293745,365108000.0,1.958488995037085,385170000.0,1.8564789573435108,,,,0.4657,-3.301495016611289,252600000.0,0.4816,-2.173471460491583,246030000.0,0.4923,2.0310880829015554,329330000.0,0.4888,-6.162411211364949,376590000.0,0.5287,0.0378429517502221,320580000.0,0.4734142857142857,0.0435806695899085,0.3821,0.5209,0.1388,,,,,,,,,,,3,11,10,4,2018,0.4206,0.3909740759647148,0.4666934082795129,
