Date,Price,Open,High,Low,Vol,Return_1d,HL_Range,OC_Range,SMA_5,Price_SMA_5,SMA_10,Price_SMA_10,SMA_20,Price_SMA_20,RSI_14,Volatility_20
2018-06-15,0.5333,0.5566,0.5585,0.5288,115010000.0,-0.04168912848158135,0.02969999999999995,0.023299999999999987,0.55544,-0.039860308226625785,0.6041000000000001,-0.11719915382885049,0.614065,-0.13152517841718425,37.75793283293196,0.053508667759927284
2018-06-16,0.533,0.5333,0.5379,0.5193,111170000.0,-0.000562535158447286,0.01860000000000006,0.00029999999999996696,0.5421800000000001,-0.016931664448492145,0.59007,-0.0967173539289008,0.6104849999999999,-0.12692368973973656,33.69918505521828,0.053516925951335816
2018-06-17,0.5255,0.533,0.541,0.5222,100520000.0,-0.014071294559099501,0.01880000000000004,0.007500000000000062,0.53564,-0.018930643362507715,0.57485,-0.08584849811518669,0.60938,-0.1376481155002116,22.87144172954308,0.04930620125501177
2018-06-18,0.5383,0.5255,0.5484,0.5064,128410000.0,0.02435775451950528,0.04200000000000004,0.012800000000000034,0.53732,0.0018238479523589035,0.56143,-0.04119838552983668,0.606325,-0.11219232074890007,29.00462340118702,0.04440531872347591
2018-06-19,0.5491,0.5383,0.5612,0.5352,112200000.0,0.02006316180568457,0.026000000000000023,0.010800000000000032,0.53584,0.024746173769293556,0.55048,-0.0025069211868383734,0.60409,-0.09102949740883814,26.62240513592657,0.04471873145793059
2018-06-20,0.5399,0.5491,0.55,0.5241,101030000.0,-0.016754689491895847,0.025900000000000034,0.009199999999999986,0.5371600000000001,0.005100882323685774,0.5463,-0.011715192902888694,0.600535,-0.10096831823343666,25.989907708469858,0.04416768617341104
2018-06-21,0.5341,0.5399,0.5484,0.5305,85200000.0,-0.010742730135210321,0.017900000000000027,0.005800000000000027,0.53738,-0.006103706760510086,0.53978,-0.010522823918581281,0.596185,-0.10413715366644327,24.283655445158473,0.043881077261923376
2018-06-22,0.4823,0.5341,0.5349,0.4714,192510000.0,-0.09698558322411532,0.06350000000000006,0.05180000000000001,0.5287400000000001,-0.08783146560064581,0.53219,-0.09374473226207325,0.588155,-0.17997808094842216,20.81030413307988,0.04709988172858516
2018-06-23,0.4898,0.4823,0.4953,0.4755,83460000.0,0.01555048724860053,0.01980000000000004,0.007500000000000007,0.5190400000000001,-0.056334790067532725,0.5281800000000001,-0.07266463946638213,0.578245,-0.15295421226376005,23.575443642573248,0.043456961318123315
2018-06-24,0.4745,0.4903,0.4953,0.4406,172040000.0,-0.031237239689669294,0.054700000000000026,0.015800000000000036,0.50412,-0.05875587045235531,0.5199800000000001,-0.08746492004567674,0.56917,-0.16632993365198567,29.208673044165167,0.043022956471764774
